127.0.0.1 - - [08/Aug/2020:18:29:23 +0630] "GET /LibraryManagementSystem/js/bootstrap.min.js HTTP/1.1" 404 802
127.0.0.1 - - [08/Aug/2020:18:29:23 +0630] "GET /LibraryManagementSystem/css/style.css HTTP/1.1" 404 796
127.0.0.1 - - [08/Aug/2020:18:29:41 +0630] "GET /LibraryManagementSystem/studentList.jsp HTTP/1.1" 200 641
127.0.0.1 - - [08/Aug/2020:18:29:42 +0630] "GET /LibraryManagementSystem/css/bootstrap.css HTTP/1.1" 404 800
127.0.0.1 - - [08/Aug/2020:18:29:42 +0630] "GET /LibraryManagementSystem/js/jquery.min.js HTTP/1.1" 404 799
127.0.0.1 - - [08/Aug/2020:18:29:42 +0630] "GET /LibraryManagementSystem/css/style.css HTTP/1.1" 404 796
127.0.0.1 - - [08/Aug/2020:18:29:42 +0630] "GET /LibraryManagementSystem/css/font-awesome.css HTTP/1.1" 404 803
127.0.0.1 - - [08/Aug/2020:18:29:42 +0630] "GET /LibraryManagementSystem/js/bootstrap.min.js HTTP/1.1" 404 802
127.0.0.1 - - [08/Aug/2020:18:29:42 +0630] "GET /LibraryManagementSystem/js/bootstrap.min.js HTTP/1.1" 404 802
127.0.0.1 - - [08/Aug/2020:18:29:42 +0630] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [08/Aug/2020:18:30:42 +0630] "GET /LibraryManagementSystem/studentList.jsp HTTP/1.1" 200 641
127.0.0.1 - - [08/Aug/2020:18:30:42 +0630] "GET /LibraryManagementSystem/css/bootstrap.css HTTP/1.1" 404 800
127.0.0.1 - - [08/Aug/2020:18:30:42 +0630] "GET /LibraryManagementSystem/js/jquery.min.js HTTP/1.1" 404 799
127.0.0.1 - - [08/Aug/2020:18:30:42 +0630] "GET /LibraryManagementSystem/js/bootstrap.min.js HTTP/1.1" 404 802
127.0.0.1 - - [08/Aug/2020:18:30:42 +0630] "GET /LibraryManagementSystem/css/font-awesome.css HTTP/1.1" 404 803
127.0.0.1 - - [08/Aug/2020:18:30:42 +0630] "GET /LibraryManagementSystem/css/style.css HTTP/1.1" 404 796
127.0.0.1 - - [08/Aug/2020:18:32:23 +0630] "GET /LibraryManagementSystem/studentList.jsp HTTP/1.1" 200 702
127.0.0.1 - - [08/Aug/2020:18:32:23 +0630] "GET /LibraryManagementSystem/js/jquery.min.js HTTP/1.1" 404 799
127.0.0.1 - - [08/Aug/2020:18:32:23 +0630] "GET /LibraryManagementSystem/js/bootstrap.min.js HTTP/1.1" 404 802
127.0.0.1 - - [08/Aug/2020:18:32:23 +0630] "GET /LibraryManagementSystem/css/bootstrap.css HTTP/1.1" 404 800
127.0.0.1 - - [08/Aug/2020:18:32:23 +0630] "GET /LibraryManagementSystem/css/style.css HTTP/1.1" 404 796
127.0.0.1 - - [08/Aug/2020:18:32:23 +0630] "GET /LibraryManagementSystem/css/font-awesome.css HTTP/1.1" 404 803
127.0.0.1 - - [08/Aug/2020:18:32:25 +0630] "GET /LibraryManagementSystem/studentList.jsp HTTP/1.1" 200 702
127.0.0.1 - - [08/Aug/2020:18:32:25 +0630] "GET /LibraryManagementSystem/css/bootstrap.css HTTP/1.1" 404 800
127.0.0.1 - - [08/Aug/2020:18:32:25 +0630] "GET /LibraryManagementSystem/js/jquery.min.js HTTP/1.1" 404 799
127.0.0.1 - - [08/Aug/2020:18:32:25 +0630] "GET /LibraryManagementSystem/js/bootstrap.min.js HTTP/1.1" 404 802
127.0.0.1 - - [08/Aug/2020:18:32:25 +0630] "GET /LibraryManagementSystem/css/style.css HTTP/1.1" 404 796
127.0.0.1 - - [08/Aug/2020:18:32:25 +0630] "GET /LibraryManagementSystem/css/font-awesome.css HTTP/1.1" 404 803
127.0.0.1 - - [08/Aug/2020:18:33:03 +0630] "GET /LibraryManagementSystem/studentList.jsp HTTP/1.1" 200 579
127.0.0.1 - - [08/Aug/2020:18:33:07 +0630] "GET /LibraryManagementSystem/studentList.jsp HTTP/1.1" 200 579
127.0.0.1 - - [08/Aug/2020:18:33:52 +0630] "GET /LibraryManagementSystem/studentList.jsp HTTP/1.1" 200 1166
127.0.0.1 - - [08/Aug/2020:18:33:52 +0630] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [08/Aug/2020:18:34:00 +0630] "GET /LibraryManagementSystem/saveStudent.jsp?name=kk&rollno=122&phoneno=233&grade=5 HTTP/1.1" 200 3523
127.0.0.1 - - [08/Aug/2020:18:34:25 +0630] "GET /LibraryManagementSystem/saveStudent.jsp?name=kk&rollno=122&phoneno=233&grade=5 HTTP/1.1" 200 3607
